GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34035050400,Somerset,3607,101283.0,11.37,24.67,15.58,11.73,6.03,38.48,10.2,44.41,4.05,15.7
34035050500,Somerset,3755,92435.0,11.83,18.38,15.55,12.41,4.1,35.29,2.24,39.44,20.72,14.0
34035050600,Somerset,4437,117500.0,2.9,7.65,5.97,15.33,3.16,10.66,4.98,57.31,18.01,8.2
34035050701,Somerset,4517,144688.0,1.54,3.3,0.51,17.38,4.45,14.04,0.07,67.77,14.63,6.9
34035050703,Somerset,4428,177500.0,6.01,12.82,1.52,16.94,13.74,6.96,0.52,38.6,50.84,13.3
34035050704,Somerset,6836,176775.0,7.53,11.57,1.05,10.52,4.38,4.55,3.54,43.99,44.68,8.4
34035050801,Somerset,4109,188393.0,0.63,8.18,1.98,20.27,0.99,7.28,4.11,68.29,10.15,7.4
34035050802,Somerset,5007,171384.0,3.47,7.28,0.84,18.57,4.4,5.11,6.69,60.64,26.5,8.5
34035050901,Somerset,5175,182167.0,5.12,6.51,0.83,17.97,3.11,11.27,1.26,70.84,13.31,8.1
34035050902,Somerset,3518,209750.0,0.71,7.44,0.94,22.71,1.79,7.5,6.14,64.13,14.07,7.9
34035050903,Somerset,5254,244911.0,1.09,5.18,0.32,16.39,0.39,4.42,0.86,70.52,16.79,5.4
34035051000,Somerset,7099,113738.0,6.27,16.11,3.76,21.75,14.26,27.95,4.55,48.32,16.31,15.8
34035051100,Somerset,4521,71059.0,14.02,33.11,22.78,7.79,19.89,64.96,3.54,22.45,2.79,23.5
34035051200,Somerset,5054,76838.0,9.36,33.22,17.93,12.31,12.56,61.0,8.59,25.76,3.4,19.9
34035051300,Somerset,2448,113393.0,6.66,21.78,8.29,22.59,7.14,28.76,7.31,56.99,5.31,15.6
34035051400,Somerset,4284,103565.0,9.29,18.88,3.73,16.64,3.19,22.46,1.21,69.19,4.58,11.8
34035051500,Somerset,3467,83889.0,15.17,31.76,5.0,14.85,10.94,24.72,22.64,44.04,0.0,18.4
34035051600,Somerset,3119,81588.0,13.18,16.9,9.81,24.59,3.04,30.71,2.31,62.49,3.4,15.4
34035051700,Somerset,5422,61721.0,20.36,47.71,26.6,6.66,17.65,78.14,4.09,9.96,1.97,27.6
34035051800,Somerset,4921,103997.0,11.73,30.6,26.25,7.42,16.13,57.02,17.52,15.12,3.66,21.8
34035051900,Somerset,4225,138923.0,8.28,13.66,5.92,11.81,1.31,21.96,40.8,30.75,4.19,9.1
34035052001,Somerset,3848,100825.0,8.75,12.79,12.76,12.42,12.57,46.6,25.08,24.97,1.53,14.7
34035052002,Somerset,4251,55121.0,19.13,33.84,20.3,13.88,21.29,56.69,17.64,16.73,8.19,26.4
34035052100,Somerset,6982,218864.0,5.7,13.94,6.82,15.88,4.84,17.43,0.0,55.43,25.45,11.0
34035052201,Somerset,5592,183458.0,2.27,8.46,1.18,17.78,2.64,7.14,7.8,62.11,16.29,7.7
34035052203,Somerset,4938,237308.0,2.51,3.56,0.31,20.76,2.7,8.12,0.69,65.84,20.35,7.3
34035052204,Somerset,5432,202241.0,3.07,3.63,1.18,14.89,2.03,5.78,1.01,75.02,15.04,6.0
34035052300,Somerset,6429,166536.0,2.1,5.72,1.07,28.03,1.98,8.88,1.34,73.22,11.46,9.3
34035052400,Somerset,5790,206167.0,4.89,10.62,1.33,17.72,3.91,5.44,0.36,80.98,7.56,9.2
34035052603,Somerset,4564,119267.0,4.96,14.71,1.03,20.84,5.71,0.0,0.31,74.5,20.82,11.4
34035052604,Somerset,4006,194519.0,1.78,3.66,2.42,26.51,4.9,8.64,0.85,72.32,15.8,9.8
34035052605,Somerset,5211,250001.0,1.61,2.3,0.96,11.94,4.46,6.51,1.27,33.95,54.12,5.5
34035052701,Somerset,4537,231099.0,0.35,2.23,8.33,20.67,7.58,17.68,0.86,75.51,3.57,9.9
34035052702,Somerset,3334,230850.0,1.95,10.14,3.81,15.63,0.0,1.11,0.18,91.3,1.65,7.0
34035052800,Somerset,2547,184231.0,2.36,6.02,12.45,20.97,0.91,7.46,3.57,83.71,3.18,9.6
34035052901,Somerset,1004,152188.0,5.31,19.84,5.38,24.9,2.4,13.25,1.49,77.49,4.88,13.1
34035052904,Somerset,2477,104932.0,4.4,19.53,8.28,24.06,0.0,21.8,4.24,66.13,3.67,12.3
34035052905,Somerset,3104,122346.0,0.23,7.22,1.71,25.68,2.35,6.44,0.0,79.7,13.85,8.8
34035052906,Somerset,2646,96515.0,10.7,18.19,3.51,30.84,4.86,7.52,2.38,67.61,7.82,16.0
